id,sex,employment,married,income,digital3
1,M,employed,0,29758,0
2,F,retired,1,6140,0
3,F,employed,1,27186,0
4,M,employed,1,8429,.73401141
5,M,retired,1,2820,0
6,M,student,0,0,.95654011
7,M,employed,1,42269,.61950356
8,M,unemployed,1,0,.5693627
9,F,unemployed,0,26131,.14993627
10,M,employed,1,7003,.51891589
11,M,employed,1,8359,.68970758
12,M,unemployed,0,0,0
13,M,employed,1,26580,0
14,M,employed,1,8563,.77229571
15,F,employed,0,28934,.54512924
16,M,employed,1,14529,.92554307
17,M,retired,0,45612,.29654843
18,F,employed,1,5855,0
19,F,student,0,12608,.74301618
20,M,employed,0,16024,0
21,M,retired,0,53474,.28833777
22,M,employed,1,12628,.57318866
23,M,employed,1,29819,0
24,F,employed,1,8104,0
25,F,retired,1,2396,0
26,M,unemployed,1,0,0
27,M,unemployed,0,6001,.34779936
28,F,employed,1,24565,.2091614
29,M,student,1,6234,.11513763
30,F,retired,0,3430,.27159649
31,M,unemployed,0,0,.81140578
32,F,employed,0,9983,.5436995
33,F,employed,0,9532,.70431989
34,M,retired,1,12794,0
35,M,employed,0,6069,0
36,M,unemployed,1,0,.6403051
37,F,student,1,0,.92001605
38,F,employed,0,17592,.51955867
39,M,employed,1,8581,.70671487
40,M,employed,1,6543,0
41,M,student,0,0,.74512136
42,M,employed,0,9977,.11951803
43,M,employed,1,8806,.76655954
44,M,employed,1,8300,.24135831
45,M,employed,1,14234,.59726536
46,M,unemployed,1,14361,0
47,F,retired,1,3278,.22919662
48,M,retired,0,4795,.16747302
49,M,student,0,0,.83172357
50,M,employed,1,29012,.73616678
51,M,employed,1,10743,.88969755
52,F,unemployed,1,0,.38535053
53,M,employed,1,13880,.58696252
54,F,employed,0,12708,.84750324
55,M,employed,0,27988,.55978972
56,M,employed,1,7392,.2028522
57,M,retired,0,5432,.32009095
58,M,employed,0,9706,.53221965
59,M,employed,1,12492,.38434625
60,F,retired,0,6480,.016084595
61,M,retired,0,6171,.22417963
62,F,employed,0,80829,.62018609
63,M,student,0,0,.83945388
64,F,unemployed,0,19924,.81729633
65,M,employed,1,8776,.39425546
66,F,employed,1,9057,.47362518
67,F,employed,1,15288,0
68,M,employed,1,7900,0
69,M,employed,1,48064,.27435294
70,M,employed,1,7382,.93696606
71,M,employed,0,19553,.75533247
72,F,employed,1,16795,.58169484
73,F,employed,1,6455,.50676227
74,M,unemployed,1,21907,.62669486
75,F,unemployed,1,0,.63107038
76,M,student,0,43162,0
77,F,unemployed,1,0,.8401913
78,M,employed,1,18910,.31651506
79,F,student,0,0,.97914934
80,M,employed,1,8946,0
81,M,employed,1,7744,.38521513
82,M,employed,1,9844,.54226726
83,F,student,0,3584,.91288549
84,M,student,0,0,.91657084
85,M,employed,1,8840,.5691852
86,M,employed,0,9260,0
87,F,employed,1,11132,.11295732
88,M,employed,1,17193,.94582695
89,M,unemployed,1,0,.95865995
90,F,employed,1,6762,.33702314
91,F,unemployed,1,0,.51132864
92,F,retired,1,2375,.30441993
93,M,employed,0,9945,0
94,F,student,0,0,.8209179
95,M,employed,1,11125,.74114507
96,F,student,0,0,.87603933
97,M,unemployed,0,42052,.61800188
98,F,employed,0,26744,.811737
99,M,student,0,4841,.088838637
100,F,employed,1,139120,.080058217
101,M,retired,0,5212,.20331395
102,M,unemployed,1,0,0
103,F,retired,1,28748,.13161729
104,F,employed,0,37938,.7207818
105,F,employed,1,4697,.97391945
106,F,employed,0,9508,.59313846
107,F,unemployed,0,8918,.68364483
108,M,student,0,3903,.68540943
109,M,employed,1,6341,.46408409
110,F,unemployed,1,0,.99435067
111,F,employed,1,58159,.58655787
112,F,employed,1,7495,.89174443
113,M,student,0,8553,.74291855
114,F,unemployed,0,21331,.50285399
115,M,employed,1,20513,.72839445
116,F,employed,1,19768,.63990676
117,M,employed,1,5183,.52473211
118,M,employed,1,15741,.59878194
119,F,employed,1,17603,.15678491
120,F,employed,0,5243,0
121,M,employed,0,10984,.68964279
122,M,retired,0,13375,.20898414
123,F,employed,1,11968,.56331903
124,M,employed,1,74817,.68973494
