id,own,competing1,competing3,borrowertype,accepted,default,profit
1,.042199999,.027688116,.13147949,3,0,0,
2,.2069,.96730447,,1,1,1,-10000
3,.057799999,.028157203,.17806892,3,0,0,
4,.099100001,.82700002,.65798318,3,1,0,991
5,.36840001,1,,1,1,0,3684
6,.18279999,,,3,1,0,1828
7,.0383,.1821,.17290273,1,1,0,383
8,.34150001,1,.32671341,3,0,0,
9,.037799999,.4887549,.10497107,2,1,0,378
10,.18529999,.96915865,.1355741,2,0,0,
11,.1025,1,.66388804,2,1,1,-10000
12,,1,.339165,3,0,0,
13,.054000001,.4931877,.14616269,3,1,0,540
14,.096100003,1,,1,1,1,-10000
15,.0436,.031073784,.20025584,3,0,0,
16,.054499999,.62690002,.061458968,3,0,0,
17,.032400001,.42351845,.012335334,1,0,0,
18,.3732,,.93129689,1,1,0,3732
19,.048500001,.64859998,,3,1,0,485
20,.1024,,.10726988,3,0,0,
21,.0319,.020382367,.2340392,3,0,0,
22,.072499998,.90079999,.17622362,3,1,0,725
23,.047800001,.42640001,.15314141,2,1,0,478
24,.27419999,,.67468774,3,1,0,2742
25,,,,1,0,0,
26,,,.26941484,3,0,0,
27,.24150001,1,.21478714,1,0,1,
28,.055199999,.48462716,.033956688,2,0,0,
29,.1089,1,.17366022,2,1,0,1089
30,.1762,,.15069772,3,0,0,
31,.2203,,,2,1,0,2203
32,.1195,,,1,1,0,1195
33,.1034,1,,2,1,0,1034
34,.1087,.061670292,.23065503,1,0,0,
35,,,,2,0,0,
36,.31380001,,,3,1,0,3138
37,.1568,,.2777155,2,1,0,1568
38,.064900003,.64527822,.022912527,1,0,0,
39,.098099999,.73245358,1,1,1,0,981
40,.36090001,,,1,1,0,3609.0002
41,.24079999,,.97462124,2,1,0,2408
42,.21699999,,.094985813,1,0,0,
43,.092799999,,.11043998,2,1,0,928
44,.23890001,.95659697,.17481978,1,0,0,
45,.060800001,1,.082214244,1,1,0,608
46,.096699998,.63700002,.0089717591,1,0,0,
47,.1771,1,,3,1,0,1771
48,.175,1,,2,1,0,1750
49,.2122,,,1,1,1,-10000
50,.039799999,.45532635,.20025584,1,1,0,398
51,.072899997,,.05208024,2,0,0,
52,,,,3,0,0,
53,.0634,.065288834,.30903304,2,1,0,634
54,.071500003,1,,2,1,0,715.00006
55,.0418,.45532635,.19082287,3,1,0,418
56,.29069999,.96945024,,3,1,0,2907
57,.089299999,1,,2,1,0,893
58,.142,1,.33184215,2,1,1,-10000
59,.1048,.6832,.048020441,3,0,0,
60,.185,,.092578255,2,0,0,
61,.1134,.91769266,,2,1,0,1134
62,.031800002,.34755293,.00019644601,2,0,0,
63,.2097,,,3,1,0,2097
64,.0361,.6595,.13687731,1,1,0,361
65,.17749999,,.55352539,3,1,0,1775
66,.1195,,.13542108,1,1,0,1195
67,.1217,,.17673983,3,1,1,-10000
68,.3075,,.12567377,3,0,0,
69,.037,.027426643,.12372005,1,0,0,
70,.1136,.86979997,.7875399,3,1,0,1136
71,.0524,.47953334,.029707024,3,0,0,
72,.0581,.7967,.39448857,3,1,0,581
73,.1691,.97942853,.20744158,3,1,0,1691
74,.034899998,.45944467,.2765826,1,1,0,348.99997
75,.32440001,,.33241445,2,1,0,3244
76,.032099999,.018376447,.0047643739,3,0,0,
77,.25670001,,,3,1,0,2567
78,.064900003,.5970751,.047779646,1,0,0,
79,.2133,.96603715,.16968097,2,0,0,
80,.2608,,,2,1,0,2608
81,.20739999,,.6938895,2,1,0,2074
82,.1071,.87015951,,1,1,0,1071
83,.16329999,1,.14362244,2,1,0,1632.9999
84,.1902,.96454108,,2,1,0,1902
85,.1168,1,.56836462,3,1,0,1168
86,.27410001,,.76411796,1,1,0,2741
87,.1751,1,.090825357,2,0,0,
88,.048099998,.56590003,.14786063,1,1,0,480.99997
89,.23540001,,.25422272,2,1,0,2354
90,.2137,.99087882,.46328452,3,1,0,2137
91,.3725,,,3,1,0,3725
92,.16509999,,.20031124,1,1,0,1650.9999
93,.249,1,.25017405,2,1,0,2490
94,.24070001,1,1,1,1,0,2407
95,.070500001,.64220572,.018017631,1,0,0,
96,.2305,.96824133,,3,1,0,2305
97,.031599998,.45327559,.0051354324,1,0,0,
98,.0396,.4824,.046176851,1,1,0,396
99,.20379999,,.52213264,3,1,0,2037.9999
100,.031399999,.34890363,.12589186,2,1,0,314
101,.148,1,,1,1,0,1480
102,,,,1,0,0,
103,.035999998,.31940001,.0035300769,1,0,0,
104,.0359,,.038639739,1,1,0,359
105,.131,.8951987,.30717304,3,1,0,1310
106,.1173,1,,2,1,0,1173
107,.11,1,.091521442,3,0,0,
108,.1777,1,,2,1,0,1777
109,.222,.99087882,.39886698,1,1,0,2220
110,.21250001,1,,2,1,0,2125
111,.033500001,.018608527,.00099263561,3,0,0,
112,.098300003,1,.18424471,1,1,0,983
113,.075000003,.6296705,.2934539,3,1,0,750
114,.039099999,.018236095,.010772031,2,0,0,
115,.044,.017478777,.030881707,1,0,0,
116,.050099999,.8362,.60364819,1,1,0,501
117,.2255,1,.98257709,3,1,1,-10000
118,.0548,.57319999,.25254685,2,1,0,548
