id,sex,employment,married,income,digital3,default
1,M,employed,0,29758,0.0,0
2,F,retired,1,6140,0.0,1
3,F,employed,1,27186,0.0,0
4,M,employed,1,8429,0.73401141,0
5,M,retired,1,2820,0.0,0
6,M,student,0,0,0.95654011,0
7,M,employed,1,42269,0.61950356,0
8,M,unemployed,1,0,0.5693627,0
9,F,unemployed,0,26131,0.14993627,0
10,M,employed,1,7003,0.51891589,0
11,M,employed,1,8359,0.68970758,1
12,M,unemployed,0,0,0.0,0
13,M,employed,1,26580,0.0,0
14,M,employed,1,8563,0.77229571,1
15,F,employed,0,28934,0.54512924,0
16,M,employed,1,14529,0.92554307,0
17,M,retired,0,45612,0.29654843,0
18,F,employed,1,5855,0.0,0
19,F,student,0,12608,0.74301618,0
20,M,employed,0,16024,0.0,0
21,M,retired,0,53474,0.28833777,0
22,M,employed,1,12628,0.57318866,0
23,M,employed,1,29819,0.0,0
24,F,employed,1,8104,0.0,0
25,F,retired,1,2396,0.0,0
26,M,unemployed,1,0,0.0,0
27,M,unemployed,0,6001,0.34779936,1
28,F,employed,1,24565,0.2091614,0
29,M,student,1,6234,0.11513763,0
30,F,retired,0,3430,0.27159649,0
31,M,unemployed,0,0,0.81140578,0
32,F,employed,0,9983,0.5436995,0
33,F,employed,0,9532,0.70431989,0
34,M,retired,1,12794,0.0,0
35,M,employed,0,6069,0.0,0
36,M,unemployed,1,0,0.6403051,0
37,F,student,1,0,0.92001605,0
38,F,employed,0,17592,0.51955867,0
39,M,employed,1,8581,0.70671487,0
40,M,employed,1,6543,0.0,0
41,M,student,0,0,0.74512136,0
42,M,employed,0,9977,0.11951803,0
43,M,employed,1,8806,0.76655954,0
44,M,employed,1,8300,0.24135831,0
45,M,employed,1,14234,0.59726536,0
46,M,unemployed,1,14361,0.0,0
47,F,retired,1,3278,0.22919662,0
48,M,retired,0,4795,0.16747302,0
49,M,student,0,0,0.83172357,1
50,M,employed,1,29012,0.73616678,0
51,M,employed,1,10743,0.88969755,0
52,F,unemployed,1,0,0.38535053,0
53,M,employed,1,13880,0.58696252,0
54,F,employed,0,12708,0.84750324,0
55,M,employed,0,27988,0.55978972,0
56,M,employed,1,7392,0.2028522,0
57,M,retired,0,5432,0.32009095,0
58,M,employed,0,9706,0.53221965,1
59,M,employed,1,12492,0.38434625,0
60,F,retired,0,6480,0.016084595,0
61,M,retired,0,6171,0.22417963,0
62,F,employed,0,80829,0.62018609,0
63,M,student,0,0,0.83945388,0
64,F,unemployed,0,19924,0.81729633,0
65,M,employed,1,8776,0.39425546,0
66,F,employed,1,9057,0.47362518,0
67,F,employed,1,15288,0.0,1
68,M,employed,1,7900,0.0,0
69,M,employed,1,48064,0.27435294,0
70,M,employed,1,7382,0.93696606,0
71,M,employed,0,19553,0.75533247,0
72,F,employed,1,16795,0.58169484,0
73,F,employed,1,6455,0.50676227,0
74,M,unemployed,1,21907,0.62669486,0
75,F,unemployed,1,0,0.63107038,0
76,M,student,0,43162,0.0,0
77,F,unemployed,1,0,0.8401913,0
78,M,employed,1,18910,0.31651506,0
79,F,student,0,0,0.97914934,0
80,M,employed,1,8946,0.0,0
81,M,employed,1,7744,0.38521513,0
82,M,employed,1,9844,0.54226726,0
83,F,student,0,3584,0.91288549,0
84,M,student,0,0,0.91657084,0
85,M,employed,1,8840,0.5691852,0
86,M,employed,0,9260,0.0,0
87,F,employed,1,11132,0.11295732,0
88,M,employed,1,17193,0.94582695,0
89,M,unemployed,1,0,0.95865995,0
90,F,employed,1,6762,0.33702314,0
91,F,unemployed,1,0,0.51132864,0
92,F,retired,1,2375,0.30441993,0
93,M,employed,0,9945,0.0,0
94,F,student,0,0,0.8209179,0
95,M,employed,1,11125,0.74114507,0
96,F,student,0,0,0.87603933,0
97,M,unemployed,0,42052,0.61800188,0
98,F,employed,0,26744,0.811737,0
99,M,student,0,4841,0.088838637,0
100,F,employed,1,139120,0.080058217,0
101,M,retired,0,5212,0.20331395,0
102,M,unemployed,1,0,0.0,0
103,F,retired,1,28748,0.13161729,0
104,F,employed,0,37938,0.7207818,0
105,F,employed,1,4697,0.97391945,0
106,F,employed,0,9508,0.59313846,0
107,F,unemployed,0,8918,0.68364483,0
108,M,student,0,3903,0.68540943,0
109,M,employed,1,6341,0.46408409,0
110,F,unemployed,1,0,0.99435067,0
111,F,employed,1,58159,0.58655787,0
112,F,employed,1,7495,0.89174443,0
113,M,student,0,8553,0.74291855,0
114,F,unemployed,0,21331,0.50285399,0
115,M,employed,1,20513,0.72839445,0
116,F,employed,1,19768,0.63990676,0
117,M,employed,1,5183,0.52473211,1
118,M,employed,1,15741,0.59878194,0
119,F,employed,1,17603,0.15678491,0
120,F,employed,0,5243,0.0,0
121,M,employed,0,10984,0.68964279,0
122,M,retired,0,13375,0.20898414,0
123,F,employed,1,11968,0.56331903,0
124,M,employed,1,74817,0.68973494,0
125,M,employed,1,11746,0.41693598,1
126,M,employed,1,6777,0.51115108,0
127,M,employed,1,5639,0.019893359,0
128,M,employed,1,9287,0.46540254,1
129,F,unemployed,1,14923,0.76182932,0
130,F,unemployed,0,0,0.33366844,0
131,F,unemployed,1,793,0.55005652,1
132,M,student,0,10962,0.40648776,0
133,M,employed,1,27154,0.34405091,0
134,F,employed,1,13598,0.48397017,0
135,M,employed,1,26611,0.0,0
136,M,unemployed,1,60769,0.65466416,0
137,M,employed,1,44761,0.55314112,0
138,F,retired,1,5439,0.23312521,0
139,M,employed,1,81114,0.90390402,0
140,F,employed,1,35645,0.0,0
141,M,student,0,3462,0.0,0
142,M,employed,1,13713,0.27295393,1
143,F,employed,1,7752,0.61520135,0
144,F,employed,1,5346,0.55781859,0
145,F,student,0,0,0.21898736,1
146,M,employed,1,17305,0.65050209,0
147,M,employed,0,11559,0.41616842,1
148,M,unemployed,1,11431,0.50266606,0
149,M,retired,1,11294,0.33446127,0
150,F,employed,1,21446,0.57146722,0
151,F,employed,1,9971,0.56957829,0
152,M,student,0,4415,0.29666236,0
153,F,unemployed,1,10263,0.0,0
154,M,employed,1,14455,0.0,0
155,M,employed,0,22094,0.0,0
156,M,student,0,4304,0.83929151,0
157,F,employed,1,4009,0.72479814,0
158,M,unemployed,1,44385,0.10906868,0
159,M,employed,1,40736,0.19942662,0
160,M,employed,0,7653,0.0,1
161,M,unemployed,1,0,0.63405478,0
162,M,employed,1,11231,0.70700765,0
163,M,employed,1,11946,0.5362581,0
164,F,unemployed,1,0,0.89948833,0
165,M,employed,0,15249,0.0,0
166,F,employed,0,14075,0.50242263,0
167,M,employed,1,64217,0.19845739,0
168,M,employed,1,187934,0.11190442,0
169,M,employed,1,6558,0.68001002,0
170,F,retired,1,7337,0.21650684,0
171,F,unemployed,1,0,0.33381242,1
172,M,employed,1,29818,0.81696814,0
173,M,student,0,16362,0.94796091,0
174,M,employed,1,150661,0.36274526,0
175,M,employed,1,11626,0.56609797,0
176,F,student,0,0,0.73298514,0
177,F,unemployed,1,0,0.0,0
178,M,unemployed,0,0,0.67527229,0
179,M,student,0,0,0.83705801,0
180,M,employed,1,17450,0.78146172,0
181,F,employed,1,10743,0.60063726,0
182,M,unemployed,0,0,0.55968291,0
183,M,employed,1,18045,0.0,0
184,M,retired,1,47543,0.20874822,0
185,F,employed,1,11846,0.59720039,0
186,F,employed,1,7806,0.30691442,1
187,M,employed,1,17850,0.57306182,0
188,M,employed,1,9389,0.037969995,0
189,M,employed,1,14605,0.1676189,0
190,F,employed,1,9144,0.39444414,0
191,F,unemployed,1,70115,0.60986674,0
192,M,employed,1,14232,0.43592045,0
193,M,employed,1,33361,0.0,0
194,M,employed,1,6766,0.38003564,1
195,M,employed,1,8963,0.80752432,0
196,M,unemployed,0,16699,0.83907735,0
197,F,employed,1,15302,0.0,0
198,F,unemployed,1,0,0.54010087,0
199,F,unemployed,1,0,0.0,0
200,M,employed,1,6533,0.0,0
201,F,employed,0,25453,0.72669142,0
202,M,student,0,0,0.57935518,0
203,M,student,0,0,0.58549958,1
204,M,employed,1,16384,0.058790218,0
205,F,employed,1,11014,0.0,0
206,F,employed,1,5221,0.0,0
207,M,student,0,0,0.073387139,0
208,M,retired,1,4174,0.24352574,0
209,M,student,0,0,0.7704134,0
210,M,employed,1,11584,0.18517044,0
211,F,unemployed,1,0,0.0,0
212,F,student,0,0,0.15517616,0
213,F,student,0,2571,0.81432945,0
214,F,employed,1,5789,0.55584818,0
215,F,employed,0,7898,0.0,0
216,M,employed,1,19939,0.0,0
217,F,retired,0,8388,0.38766336,0
218,M,employed,1,101471,0.0,0
219,M,employed,1,32306,0.31094331,0
220,M,employed,1,5384,0.34468397,0
221,F,retired,1,2966,0.0,0
222,M,employed,0,8907,0.60832459,1
223,M,employed,0,9285,0.0,0
224,M,employed,1,5893,0.28840268,0
225,M,student,0,0,0.36344132,1
226,F,employed,1,4930,0.67323554,0
227,F,employed,1,6734,0.0,0
228,M,student,0,38128,0.88309377,0
229,M,employed,1,37340,0.0,0
230,M,employed,1,14412,0.50849688,0
231,M,unemployed,0,20706,0.63380212,0
232,M,employed,1,8056,0.0,0
233,F,employed,0,13548,0.55464035,0
234,F,retired,1,102632,0.0,0
235,M,employed,0,174363,0.26652154,0
236,M,employed,1,8163,0.13159211,1
237,M,student,0,0,0.72015136,0
238,M,retired,1,7627,0.12237535,1
239,M,retired,0,6375,0.090097494,0
240,F,employed,0,6005,0.61584061,0
241,M,employed,0,49763,0.63820583,0
242,M,employed,1,70506,0.14864145,0
243,M,employed,1,47996,0.75811493,0
244,F,employed,1,6107,0.0,0
245,M,employed,1,11092,0.24146454,0
246,M,retired,0,10214,0.36493099,0
247,M,employed,1,7322,0.45366988,0
248,F,employed,1,6527,0.0,0
249,M,employed,1,15256,0.56909931,0
250,F,employed,1,70375,0.50812554,0
251,M,unemployed,1,0,0.50188255,0
252,F,employed,1,36701,0.0,0
253,F,employed,1,9876,0.95283014,0
254,M,employed,1,6287,0.58101726,0
255,F,student,0,0,0.85678709,0
256,F,employed,0,6116,0.46975428,0
257,M,employed,1,7227,0.27497563,0
258,M,employed,1,7189,0.0,0
259,F,employed,1,5795,0.0,0
260,M,retired,1,4430,0.094057299,0
261,M,student,1,0,0.5060932,0
262,M,employed,1,14073,0.46337554,0
263,F,retired,1,6192,0.25805667,0
264,F,employed,0,16313,0.0,0
