iter	Logloss
0	0.5568770693
1	0.4603256534
2	0.3881643573
3	0.3384063919
4	0.3028831061
5	0.2768150666
6	0.2596674869
7	0.2460612843
8	0.2365846976
9	0.2291539334
10	0.2231824108
11	0.2192963697
12	0.2153700219
13	0.2128216439
14	0.209839435
15	0.2073010415
16	0.2054887557
17	0.2041605456
18	0.2029873133
19	0.2019763397
20	0.2007415411
21	0.200065464
22	0.199363515
23	0.1983947793
24	0.1977105868
25	0.1971125329
26	0.196485607
27	0.1959977114
28	0.1953756171
29	0.1950536124
30	0.1946265169
31	0.1940522852
32	0.1936145734
33	0.1931467235
34	0.1928394882
35	0.1924678138
36	0.1922353232
37	0.1918348435
38	0.1913047824
39	0.1909705476
40	0.1906856881
41	0.1904182076
42	0.19010984
43	0.189945422
44	0.1895790756
45	0.1893400224
46	0.1890594867
47	0.1888523955
48	0.1885916313
49	0.1881980495
50	0.187902646
51	0.1876166728
52	0.187484249
53	0.187111103
54	0.186847746
55	0.1864120938
56	0.1862308898
57	0.1859353636
58	0.1856007728
59	0.1853890408
60	0.1850484431
61	0.1847739575
62	0.1844923291
63	0.1843201257
64	0.1840887705
65	0.183915822
66	0.183632021
67	0.1833700166
68	0.1831068954
69	0.1827733454
70	0.1825359725
71	0.1823793984
72	0.1821280762
73	0.1818674756
74	0.1816400405
75	0.1815415465
76	0.1813511485
77	0.1812079941
78	0.1811033941
79	0.1808798144
80	0.1805978519
81	0.1804425595
82	0.1801828771
83	0.1799313522
84	0.1796516141
85	0.1793246472
86	0.179093269
87	0.1789806564
88	0.1788211148
89	0.1786825617
90	0.1784245065
91	0.17818441
92	0.1780100303
93	0.177845323
94	0.1777340529
95	0.1774740059
96	0.1773410571
97	0.1771790681
98	0.1770098342
99	0.1767351946
100	0.1765158854
101	0.1762313721
102	0.1760559995
103	0.1759243208
104	0.1757812667
105	0.1755921448
106	0.1754645233
107	0.1752710175
108	0.1750794704
109	0.174853535
110	0.1745817561
111	0.1744510688
112	0.1743127398
113	0.1740782519
114	0.1739546507
115	0.1738400177
116	0.1737397823
117	0.1734517858
118	0.1732499442
119	0.1730233982
120	0.1729304168
121	0.172723423
122	0.1726411162
123	0.172495339
124	0.1723606937
125	0.1720566691
126	0.1718128488
127	0.1716458271
