iter	Passed	Remaining
0	7	3917
1	15	3888
2	23	3876
3	31	3863
4	38	3820
5	46	3790
6	53	3736
7	59	3678
8	66	3625
9	73	3592
10	80	3559
11	86	3531
12	93	3494
13	99	3465
14	106	3442
15	113	3427
16	119	3405
17	126	3387
18	132	3364
19	140	3360
20	147	3354
21	153	3341
22	160	3331
23	166	3309
24	173	3296
25	179	3280
26	187	3284
27	194	3278
28	201	3267
29	207	3257
30	215	3259
31	222	3250
32	229	3242
33	235	3228
34	242	3219
35	248	3207
36	255	3198
37	262	3191
38	269	3179
39	275	3166
40	281	3156
41	288	3145
42	295	3136
43	301	3122
44	308	3119
45	314	3108
46	321	3101
47	328	3092
48	335	3085
49	341	3077
50	348	3067
51	355	3060
52	361	3050
53	368	3040
54	374	3030
55	381	3021
56	387	3014
57	394	3006
58	401	3002
59	409	2999
60	415	2991
61	422	2985
62	429	2979
63	435	2970
64	442	2963
65	449	2954
66	456	2947
67	462	2939
68	469	2932
69	476	2924
70	482	2916
71	489	2908
72	495	2901
73	502	2894
74	509	2887
75	516	2880
76	523	2875
77	530	2867
78	537	2862
79	543	2854
80	550	2847
81	557	2840
82	564	2834
83	570	2827
84	577	2819
85	584	2813
86	591	2806
87	597	2798
88	604	2792
89	611	2785
90	617	2777
91	625	2772
92	631	2764
93	639	2760
94	645	2752
95	652	2745
96	658	2737
97	665	2729
98	672	2722
99	678	2714
100	685	2708
101	692	2700
102	698	2693
103	705	2688
104	712	2680
105	719	2673
106	725	2665
107	732	2658
108	739	2654
109	746	2646
110	753	2640
111	760	2633
112	767	2627
113	774	2620
114	780	2614
115	787	2608
116	794	2601
117	801	2596
118	808	2588
119	815	2580
120	821	2572
121	828	2566
122	835	2559
123	841	2552
124	848	2545
125	855	2538
126	861	2531
127	868	2523
128	874	2515
129	881	2507
130	887	2501
131	894	2493
132	900	2486
133	907	2478
134	914	2471
135	920	2464
136	927	2456
137	934	2451
138	942	2447
139	949	2441
140	956	2434
141	962	2427
142	969	2420
143	975	2412
144	982	2405
145	989	2398
146	996	2392
147	1002	2385
148	1009	2378
149	1016	2371
150	1022	2363
151	1029	2357
152	1036	2350
153	1043	2343
154	1050	2337
155	1056	2330
156	1063	2323
157	1069	2315
158	1076	2308
159	1083	2301
160	1090	2295
161	1097	2288
162	1103	2281
163	1110	2274
164	1116	2266
165	1122	2259
166	1129	2253
167	1136	2246
168	1143	2239
169	1150	2233
170	1157	2227
171	1164	2219
172	1170	2212
173	1177	2207
174	1184	2200
175	1191	2193
176	1198	2186
177	1204	2179
178	1212	2174
179	1219	2167
180	1226	2160
181	1232	2153
182	1239	2147
183	1246	2141
184	1253	2134
185	1260	2128
186	1267	2122
